SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,7,148.8,7,130.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,12,148.8,7,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,130.8,6,148.8,12,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,3,130.8,6,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,11,148.8,3,130.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,3,148.8,11,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,130.8,8,148.8,3,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,6,130.8,8,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,8,148.8,6,130.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,7,148.8,8,148.8
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,80.91,1,100,6,80.91
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,161.82,10,80.91,1,100
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,77.84,11,161.82,10,80.91
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,51.89,21,77.84,11,161.82
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,80,6,51.89,21,77.84
6a3ce45b-d363-4b81-bba5-5598c2a020b0-0209393011,300,28,300,34,264
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,77.31,7,99.23,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,77.31,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,77.31
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,77.31,7,99.23,7,99.23
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,185.38,10,265.38,13,132.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,8,185.38,10,265.38
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,7,132.69,8,185.38
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,10,132.69,7,132.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,52.69,4,132.69,10,132.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,6,52.69,4,132.69
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,5,70.38,10,67.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,8,70.38,5,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,67.38,6,70.38,8,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,8,67.38,6,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,6,70.38,8,67.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,6,70.38,6,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,8,70.38,6,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,67.38,6,70.38,8,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,9,67.38,6,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,6,70.38,9,67.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,6,70.38,6,70.38
b056418e-e655-4d6d-9e30-bec4ea4c6af6-0012404084,403.5,19,403.5,10,500
b056418e-e655-4d6d-9e30-bec4ea4c6af6-0012404084,403.5,22,403.5,19,403.5
69480ecd-932c-4cea-a89c-6506c9030066-0556540871,170,15,170,15,170
69480ecd-932c-4cea-a89c-6506c9030066-0556540871,170,14,170,15,170
69480ecd-932c-4cea-a89c-6506c9030066-0556540871,170,18,170,14,170
61174e90-b8cf-47af-b3b2-cff46922ae11-0009851739,77.85,14,57.15,14,77.85
61174e90-b8cf-47af-b3b2-cff46922ae11-0009851739,82.15,14,77.85,14,57.15
61174e90-b8cf-47af-b3b2-cff46922ae11-0009851739,77.85,14,82.15,14,77.85
a0f44ede-aaaa-4ba5-b78b-c49c60971fc4-N009525255,159.23,14,159.23,14,159.23
a0f44ede-aaaa-4ba5-b78b-c49c60971fc4-N009525255,159.23,14,159.23,14,159.23
a0f44ede-aaaa-4ba5-b78b-c49c60971fc4-N009525255,159.23,14,159.23,14,159.23
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,47,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,47,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,47
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,47,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,47,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,47
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,50
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,6.62,7,58.07,7,42.62
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,84.82,7,6.62,7,58.07
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,37.5,7,84.82,7,6.62
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,63.5,7,37.5,7,84.82
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,60.69,7,63.5,7,37.5
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,60.78,7,60.69,7,63.5
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,100.45,7,60.78,7,60.69
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,59.84,7,100.45,7,60.78
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,49.71,7,59.84,7,100.45
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,30.96,7,49.71,7,59.84
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,102,15,77,14,102
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,84,14,102,15,77
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,18,1,84,14,102
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,102,13,18,1,84
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,102,13,102,13,18
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,75,14,102,13,102
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,27,2,75,14,102
041fa0da-051b-4511-b856-54bd057a8237-0612527761,60.46,7,60.46,7,60.46
041fa0da-051b-4511-b856-54bd057a8237-0612527761,60.46,7,60.46,7,60.46
041fa0da-051b-4511-b856-54bd057a8237-0612527761,60.46,7,60.46,7,60.46
041fa0da-051b-4511-b856-54bd057a8237-0612527761,60.46,7,60.46,7,60.46
041fa0da-051b-4511-b856-54bd057a8237-0612527761,60.46,7,60.46,7,60.46
a16344e6-635b-421d-9827-83aef21630ae-0009937485,427,33,427,37,405
bc99c5a2-f1d9-40ab-a44e-c86feb889302-0012096255,99.24,14,201,13,99.24
bc99c5a2-f1d9-40ab-a44e-c86feb889302-0012096255,201,16,99.24,14,201
bc99c5a2-f1d9-40ab-a44e-c86feb889302-0012096255,99.24,13,201,16,99.24
4c27b308-922b-48f8-b52c-02215ec87b6f-0612527761,60.46,7,60.46,7,60.46
4c27b308-922b-48f8-b52c-02215ec87b6f-0612527761,60.46,7,60.46,7,60.46
4c27b308-922b-48f8-b52c-02215ec87b6f-0612527761,60.46,7,60.46,7,60.46
4c27b308-922b-48f8-b52c-02215ec87b6f-0612527761,60.46,7,60.46,7,60.46
4c27b308-922b-48f8-b52c-02215ec87b6f-0612527761,60.46,7,60.46,7,60.46
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,210,7,80,8,210
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,210,6,210,7,80
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,80,8,210,6,210
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,100,6,80,8,210
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,210,7,100,6,80
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,210,7,210,7,100
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,210,7,210,7,210
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,80,8,210,7,210
c80ad1f5-0b3e-4b10-b00b-66210d63d3d4-0011419617,100,6,80,8,210
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,1,135.23,6,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,7,67.62,1,135.23
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,7,67.62,7,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,135.23,3,67.62,7,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,4,135.23,3,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,6,67.62,4,135.23
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,8,67.62,6,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,6,67.62,8,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,7,67.62,6,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,7,67.62,7,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,7,67.62,7,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,10,67.62,7,67.62
b5e19ad5-01df-4575-8a36-3390c486de8d-0009002698,67.62,4,67.62,10,67.62
2b6aa7e7-3c0d-4dbf-913c-a7977809ad8e-0011919310,133.85,22,133.85,2,133.85
2b6aa7e7-3c0d-4dbf-913c-a7977809ad8e-0011919310,260.77,13,133.85,22,133.85
2b6aa7e7-3c0d-4dbf-913c-a7977809ad8e-0011919310,260.77,14,260.77,13,133.85
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,10,150,2,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,300,11,150,10,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,300,13,300,11,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,11,300,13,300
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,4,150,11,300
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,10,150,4,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,4,150,10,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,6,150,4,150
9e2cfabb-5208-419d-bba2-c04d783619e1-0011313594,150,8,150,6,150
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,123.92,7,123.92,7,105
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,123.92,7,123.92,7,123.92
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,56.33,7,123.92,7,123.92
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,67.59,1,56.33,7,123.92
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,6,67.59,1,56.33
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,6,67.59
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,7,118.15
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,7,118.15
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,7,118.15
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,7,118.15
4ac857e7-1c18-4c14-9a56-56d737b924ce-0009727777,118.15,7,118.15,7,118.15
8cc32590-74ff-4d25-a75b-2c3826c95a70-0593121231,119.31,7,119.31,7,119.31
