SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,6,148.8,7,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,130.8,11,148.8,6,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,4,130.8,11,148.8
7a3b8145-1189-4e83-a06f-842e8d83503e-0012389125,148.8,7,148.8,4,130.8
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,102,14,80,6,51.89
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,80.91,1,102,14,80
b4bc493d-bc68-44e7-8d68-808b60c7f4cc-0009119429,240,13,80.91,1,102
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,77.31,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,77.31
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,99.23,7,99.23,7,99.23
512db92a-7450-4b8d-b268-7ed167e324d0-0011303383,77.31,7,99.23,7,99.23
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,7,132.69,6,52.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,11,132.69,7,132.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,52.69,3,132.69,11,132.69
2d5cbd07-2c64-4117-8471-cbc1fef1720b-N006312445,132.69,8,52.69,3,132.69
849608d8-0d50-4b00-af57-af767faca485-0009385962,67.38,8,70.38,6,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,7,67.38,8,70.38
849608d8-0d50-4b00-af57-af767faca485-0009385962,70.38,6,70.38,7,67.38
b056418e-e655-4d6d-9e30-bec4ea4c6af6-0012404084,403.5,12,403.5,22,403.5
b056418e-e655-4d6d-9e30-bec4ea4c6af6-0012404084,403.5,10,403.5,12,403.5
69480ecd-932c-4cea-a89c-6506c9030066-0556540871,170,16,170,18,170
69480ecd-932c-4cea-a89c-6506c9030066-0556540871,170,13,170,16,170
61174e90-b8cf-47af-b3b2-cff46922ae11-0009851739,82.15,14,77.85,14,82.15
61174e90-b8cf-47af-b3b2-cff46922ae11-0009851739,77.85,14,82.15,14,77.85
a0f44ede-aaaa-4ba5-b78b-c49c60971fc4-N009525255,159.23,14,159.23,14,159.23
a0f44ede-aaaa-4ba5-b78b-c49c60971fc4-N009525255,159.23,14,159.23,14,159.23
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,47,7,50,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,47,7,50
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,47
a1b97891-b1bf-48eb-a4df-177323f8efc7-N003497737,50,7,50,7,50
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,41.49,7,30.96,7,49.71
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,66.19,7,41.49,7,30.96
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,92.57,7,66.19,7,41.49
f69bb9dd-5c39-434f-a3e5-56060a527e0d-0011923776,22.69,7,92.57,7,66.19
d688b2a2-aeb0-4018-a66f-77765ed619bb-0012182606,102,12,27,2,75
